Country Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,24985.01392,24712.49326,26441.61994,26893.01151,28396.90842,28452.17061,29350.80502,30253.27936,,
Africa Eastern and Southern,1686.695763,1672.363658,1653.188436,1658.650062,1507.800256,1404.953164,1540.232473,1534.171767,1485.307425,1330.140232
Afghanistan,591.1627983,641.871438,637.165464,613.8565052,578.4663529,509.2201005,519.8889126,493.7565814,507.1033919,508.8084095
Africa Western and Central,1827.518347,1936.390962,2123.392433,2166.743309,1886.248158,1666.422406,1606.978332,1695.959215,1772.339155,1714.4268
Angola,4615.468219,5100.097027,5254.881126,5408.4117,4166.979833,3506.073128,4095.810057,3289.643995,2809.626088,1895.770869
Albania,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184,5355.847795,5215.276752
Andorra,43334.81141,38686.46126,39540.72481,41303.92937,35770.7767,37475.63506,38964.90448,41791.96984,40897.33087,
Arab World,6695.858477,7265.966351,7314.827201,7247.972778,6185.08363,5938.791328,5941.064594,6402.380811,6403.540772,5654.950574
United Arab Emirates,39194.67224,40976.49075,42412.6395,43751.80565,38663.4005,38141.86713,40644.79119,43839.32449,43103.33629,
Argentina,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11633.49801,9912.281809,8441.919439
Armenia,3525.807198,3681.844691,3838.17388,3986.231624,3607.289299,3591.828052,3914.527854,4220.540321,4622.738182,4267.452119
American Samoa,10223.29836,11496.5241,11450.7242,11525.15639,12059.63516,12038.2497,11003.82976,11557.67116,11534.56754,
Antigua and Barbuda,12746.63347,13272.73494,12910.59063,13501.58092,14285.32978,15198.74297,15383.5764,16673.4369,17113.34977,14449.99652
Australia,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54027.96682,57354.96405,55057.2047,51812.15404
Austria,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45276.83144,47309.36627,51453.14702,50121.55421,48327.63111
Azerbaijan,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4214.311336
Burundi,249.5779728,252.3588663,256.9756471,274.8578422,305.549646,282.1930285,292.9980095,271.7524964,261.2452912,274.0095232
Belgium,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,41984.10303,44089.31009,47554.74631,46414.43523,44594.37811
Benin,1130.27319,1145.140019,1251.209707,1291.410107,1076.796702,1087.287304,1136.59397,1240.830962,1219.515479,1291.040962
Burkina Faso,751.1727704,758.000427,787.4694383,792.8462374,653.3272681,688.2506963,734.996268,813.0996894,786.8954377,830.9251446
Bangladesh,861.7621622,883.1171296,981.8608514,1118.873808,1248.45331,1401.564635,1563.767819,1698.132081,1855.69151,1968.792225
Bulgaria,7809.425062,7395.849803,7655.129708,7876.866465,7055.935673,7548.855007,8334.081728,9427.73043,9828.148515,9975.780001
Bahrain,22514.20272,23654.36959,24744.29696,24989.43753,22634.08565,22608.45256,23742.93734,23991.04139,23443.43483,
"Bahamas, The",28005.9124,29485.86422,28784.02449,29980.70826,31295.56387,31563.30787,32719.66659,33767.94119,34863.38405,28607.90138
Bosnia and Herzegovina,5092.554725,4778.636088,5131.404646,5329.631984,4727.276333,4994.68904,5394.579953,6072.184623,6120.112626,6031.556869
Belarus,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643,5761.74712,6330.075246,6839.103833,6411.227813
Belize,4423.496842,4505.600593,4568.641228,4718.436581,4770.232656,4856.973249,4945.857699,5001.422157,5078.809944,4435.621154
Bermuda,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113023.1856,117098.4463,
Bolivia,2346.337844,2609.880562,2908.200371,3081.878824,3035.971655,3076.656439,3351.124344,3548.59078,3552.068144,3143.045494
Brazil,13245.61203,12370.02445,12300.32482,12112.58767,8814.001418,8710.096774,9928.643063,9151.445253,8897.48777,6796.844542
Barbados,16458.35321,16249.67395,16451.27931,16489.07224,16524.8995,16900.04829,17391.66891,17745.25537,18148.49785,15191.16404
Brunei Darussalam,47055.96064,47739.55769,44740.85942,41725.86752,31164.03625,27158.40565,28571.60829,31628.47626,31085.96189,27466.33964
Bhutan,2563.261224,2538.949519,2472.724753,2652.225654,2752.630172,2930.574923,3286.596744,3243.477437,3316.167022,3122.376062
Botswana,7617.310041,7050.573472,7224.912737,7780.634758,6799.870178,7243.933974,7893.418671,8279.818457,7970.796968,6710.990411
Central African Republic,551.7496918,565.8011645,380.2978928,424.449106,377.422919,402.1916349,450.900697,475.9538495,467.9080218,476.8511127
Canada,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.35644,46454.74339,46326.67264,43258.17632
Central Europe and the Baltics,13905.64417,13012.84861,13711.23908,14152.05852,12511.58156,12820.40461,14237.9563,16033.35336,16307.9582,16103.4713
Switzerland,91254.03476,86547.67089,88109.48675,89684.70758,84776.14217,83073.28008,83352.08865,86388.40495,85334.51946,87097.03645
Channel Islands,,,,,,,,,,
Chile,14637.23344,15351.54074,15842.93648,14670.98891,13574.16924,13753.59215,14998.81706,15888.14436,14741.7144,13231.70421
China,5618.132267,6316.918318,7050.646271,7678.599486,8066.942635,8147.937705,8879.438667,9976.677137,10216.63033,10500.39562
Cote d'Ivoire,1208.583199,1243.273487,1415.871694,1561.464413,1972.545683,2013.381448,2111.026557,2314.050958,2276.332394,2325.723705
Cameroon,1405.094123,1354.54555,1465.63871,1542.620606,1327.502561,1364.32954,1425.106368,1534.492241,1507.449798,1499.372843
"Congo, Dem. Rep.",387.082477,424.6003738,457.9637475,486.7870951,497.3170391,471.3188225,467.0742317,557.0644117,580.7168605,556.8131853
"Congo, Rep.",3557.55617,3923.093509,3883.746848,3776.485568,2447.539308,2039.453223,2173.680253,2601.410483,2359.177309,1972.545246
Colombia,7335.166934,8050.255372,8218.347844,8114.343921,6175.87603,5870.777957,6376.706716,6729.583332,6424.979492,5332.773524
Comoros,1447.94527,1403.360421,1505.33722,1513.83039,1242.585682,1273.05092,1323.814958,1415.955164,1370.140123,1402.595489
Cabo Verde,3740.374103,3447.4831,3616.03557,3588.625584,3043.031382,3130.998753,3292.633503,3617.347445,3603.775241,3064.272388
Costa Rica,9229.834517,10075.00462,10744.09102,10847.16967,11642.77805,12011.22275,12225.57449,12468.57529,12669.70608,12076.81451
Caribbean small states,9920.910166,10187.30151,10306.88816,10377.11289,10116.51995,9560.194679,9810.470068,10250.43407,10355.40768,9192.767801
Cuba,6139.718783,6497.314764,6837.71168,7133.337679,7694.014637,8060.796598,8541.213686,8824.194008,9099.673146,
Curacao,20146.38641,20587.39736,20462.71795,20258.00969,19951.3279,19555.36585,19457.53152,19630.89349,19701.27038,
Cayman Islands,72329.66133,72777.14849,73514.66868,74990.43322,76284.19393,78471.62873,81513.16302,86059.73922,91392.64259,
Cyprus,32396.38574,28912.15694,27729.1927,27163.33297,23408.33668,24605.92083,26444.07438,29089.47133,28288.46158,26623.80089
Czech Republic,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23419.73561,23660.14881,22932.22497
Germany,46644.77603,43858.36306,46285.76407,47959.99327,41086.72967,42107.51727,44542.2952,47950.18081,46794.89929,46208.42947
Djibouti,1451.548081,1559.240651,2312.720948,2464.297678,2658.964207,2802.181971,2914.374595,3141.879389,3414.935393,3425.50345
Dominica,7065.460372,6849.455933,7016.380071,7317.486143,7597.288894,8080.968623,7274.517731,7693.771453,8001.997095,6526.793215
Denmark,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887,59775.7351,61063.31643
Dominican Republic,5913.426649,6110.366576,6238.132367,6608.825501,6921.520594,7280.88361,7609.353275,8050.644076,8282.117131,7268.19691
Algeria,5455.67903,5592.220115,5499.587331,5493.056663,4177.886892,3946.452425,4109.703442,4153.956234,3975.508993,3310.386534
East Asia & Pacific (excluding high income),4852.566116,5372.089949,5886.701367,6299.480953,6514.866345,6605.25392,7168.111007,7962.989944,8189.020316,8286.438787
Early-demographic dividend,3234.043473,3342.804304,3356.000249,3424.03534,3213.078444,3244.234042,3459.713344,3432.891607,3485.604626,3168.141819
East Asia & Pacific,8889.221192,9444.599259,9486.569822,9717.220548,9615.423201,9886.903947,10491.10612,11349.35537,11532.27544,11495.40995
Europe & Central Asia (excluding high income),9601.425309,10121.83497,10689.03919,9916.756704,7546.232996,7177.772237,8018.714138,8206.596661,8337.857422,7656.593919
Europe & Central Asia,26141.01068,25099.47492,26102.893,26335.22387,22583.85144,22404.90314,23623.12496,25237.84333,24842.02393,23877.79463
Ecuador,5200.555108,5682.046108,6056.331213,6377.093929,6124.490887,6060.092962,6213.503127,6295.934662,6222.524653,5600.389615
"Egypt, Arab Rep.",2791.810766,3229.68563,3262.657586,3379.557986,3562.932658,3519.87324,2444.290387,2537.125185,3019.092283,3547.870848
Euro area,40601.98371,37590.09548,39099.63802,39853.06477,34366.43432,35134.71691,37058.08226,40038.27489,39168.66307,37938.51812
Eritrea,642.5082588,,,,,,,,,
Spain,31636.44631,28324.42934,29059.54795,29461.55033,25732.01836,26505.34322,28100.58624,30349.7521,29555.3157,27063.19392
Estonia,17464.92008,17404.2008,19050.58592,20234.11742,17395.04062,18282.92339,20387.28315,23052.30126,23397.12001,23027.027
Ethiopia,354.4795719,467.0778718,499.5315302,566.9264029,640.5419231,717.1248698,768.5230154,771.5248663,855.7608852,936.3404611
European Union,35711.36181,33151.63211,34559.5394,35238.13978,30466.30022,31162.27355,33018.14294,35734.7629,35060.74641,34114.89528
Fragile and conflict affected situations,1963.444396,2204.406652,2265.68946,2401.917851,1870.607153,1664.827948,1665.603536,1744.874523,1818.83723,1609.247467
Finland,51081.99767,47710.79022,49878.04324,50260.29986,42784.69836,43784.28396,46297.49635,49964.49991,48678.31413,48773.28117
Fiji,4371.447385,4591.577015,4840.72727,5605.609148,5390.714207,5651.272721,6101.02389,6317.437799,6175.874841,4881.526069
France,43790.72602,40874.70039,42592.93539,43011.2631,36638.18493,37037.37419,38685.25849,41572.48501,40578.64429,39030.36037
Faroe Islands,52092.60338,49459.71723,54843.31929,59433.83457,52400.29728,56854.10265,59993.09063,62918.14619,64225.2649,
"Micronesia, Fed. Sts.",3009.256825,3131.386715,2994.792394,2971.512602,2906.617012,3014.700358,3289.642117,3568.291016,3585.423202,
Gabon,10809.68495,9813.505747,9683.58162,9663.42411,7384.700704,6984.419712,7230.434912,7956.627816,7767.016979,7005.879097
United Kingdom,42047.61425,42449.10767,43401.31053,47452.19914,45039.23595,41048.34966,40304.72308,42992.80372,42354.41465,40284.63846
Georgia,4021.743306,4421.818242,4623.745725,4739.188338,4014.185944,4062.169888,4357.000936,4722.787783,4697.983652,4278.860771
Ghana,1549.462719,1587.560932,2361.090324,1899.668336,1705.575082,1913.473536,2020.68179,2194.232477,2210.355923,2328.534642
Gibraltar,,,,,,,,,,
Guinea,651.1361134,717.0505359,769.0031667,787.2385644,769.2554754,732.2915119,855.5752706,955.1112811,1058.143368,1194.037865
"Gambia, The",762.7631177,742.7776286,700.5160422,607.4299047,660.7235712,690.7804932,679.7550717,732.7207273,777.8152452,787.0064509
Guinea-Bissau,703.6605673,616.375664,634.6620391,623.3130914,603.3993815,661.4578387,738.5499449,802.7673851,749.453747,727.5201717
Equatorial Guinea,21641.6939,21711.15159,20390.73727,19394.08066,11283.39805,9250.316493,9667.857801,10005.61679,8419.933336,7143.238705
Greece,25450.53412,21915.19132,21749.15248,21601.7764,18050.09761,17885.39281,18562.22943,19765.99645,19150.7862,17676.19248
Grenada,7291.74167,7444.089075,7789.632355,8370.040472,9096.538652,9628.172843,10152.83281,10486.37759,10815.91136,9680.175825
Greenland,47186.98147,45936.76595,47535.58995,50484.92757,44536.40131,48181.87419,50321.36875,54470.95639,,
Guatemala,3228.045741,3355.036919,3522.773706,3779.642336,3994.636913,4173.301666,4454.04815,4478.424646,4638.634943,4603.339617
Guam,31210.47029,32908.30677,33656.45357,34843.20557,35829.25036,36214.00692,36601.91988,36502.38282,37723.78134,
Guyana,4908.567014,5378.81197,5489.142758,5407.153711,5576.82607,5811.397924,6124.95367,6145.818743,6609.510431,6955.939217
High income,42323.08394,42116.65257,42368.4861,43033.37801,40444.06812,41079.52233,42714.14739,45192.70403,45406.63377,43952.65564
"Hong Kong SAR, China",35142.48793,36730.8767,38403.77771,40315.28556,42431.88828,43731.10682,46165.85651,48542.68187,48354.47337,46323.86344
Honduras,2088.315547,2144.342363,2102.592449,2206.054397,2302.204411,2342.584904,2453.727115,2510.322943,2574.356751,2405.732848
Heavily indebted poor countries (HIPC),854.8701479,874.9960339,947.7746777,973.7591211,929.8430141,912.1801414,947.233117,982.7632666,987.7066737,976.1257266
Croatia,14609.52435,13258.35985,13674.4178,13599.40978,11781.73479,12361.48383,13451.62495,15014.08502,14944.35622,13828.4695
Haiti,1287.954058,1337.336475,1393.956085,1402.100289,1389.119779,1265.986932,1294.239628,1435.350852,1272.490699,1176.75582
Hungary,14216.16561,12950.68652,13687.51406,14267.01215,12706.89121,13090.50673,14605.85435,16411.44111,16733.32217,15899.14828
IBRD only,5288.461865,5567.74639,5824.770745,5965.710751,5538.048706,5530.836972,6048.908087,6366.934808,6461.789237,6141.175638
IDA & IBRD total,4301.068171,4517.519752,4724.883083,4835.301693,4492.34504,4462.185318,4842.751482,5077.653446,5142.094637,4882.353412
IDA total,1140.175864,1197.223758,1290.676334,1349.890202,1308.856432,1250.923699,1266.013812,1306.901308,1337.76133,1306.947649
IDA blend,1721.445534,1859.740421,1972.596895,2068.872068,1949.18058,1773.844239,1712.650913,1747.506594,1758.035927,1664.260131
Indonesia,3643.047176,3694.35934,3623.927241,3491.637491,3331.695115,3562.816334,3837.578024,3893.859578,4135.201531,3869.588427
IDA only,848.0643254,863.4572641,946.7346938,986.6863761,985.1674619,987.208315,1041.588488,1085.742028,1127.588609,1129.781415
Isle of Man,77349.22524,79148.33225,83357.13268,92334.64631,85126.97047,82197.12677,83477.83429,89112.66772,,
India,1458.104066,1443.882435,1449.610451,1573.885642,1605.605445,1732.554242,1980.66702,1996.915087,2100.751461,1900.70681
Not classified,,,,,,,,,,
Ireland,52108.83323,49028.82739,51518.3881,55525.89725,61987.551,62818.96636,69601.68388,79068.97461,80886.61574,85267.76474
"Iran, Islamic Rep.",7781.405801,7927.844908,6018.3229,5585.525604,4904.327315,5253.42656,5520.314782,3598.483454,3114.622753,2282.551865
Iraq,6045.494567,6836.073995,7076.552265,6637.684375,4688.318017,4550.658638,5076.690795,5523.078375,5658.492267,4157.484495
Iceland,47714.59223,45995.54788,49804.983,54576.74481,52951.68151,61987.92636,72010.14903,74469.80406,68941.46223,59270.18005
Israel,33610.69403,32510.3453,36316.47837,37738.41607,35813.71341,37282.53056,40474.66813,41704.82857,43588.71315,43610.51623
Italy,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263,30939.71425,32326.67421,34608.6756,33566.7873,31676.2021
Jamaica,5111.465987,5209.859264,4989.734089,4834.284009,4907.927415,4843.7499,5070.099503,5359.993789,5369.498371,4664.52915
Jordan,3852.890025,3910.346894,4044.426869,4131.44735,4164.108769,4175.356602,4231.51828,4308.151074,4405.487109,4282.765823
Japan,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39400.73936,38891.08627,39808.16856,40777.6087,39538.87927
Kazakhstan,11634.0012,12386.69927,13890.63096,12807.26069,10510.77189,7714.841844,9247.581331,9812.626371,9812.595808,9055.745009
Kenya,971.6330365,1136.869893,1210.385435,1315.802225,1336.883265,1410.532025,1572.345734,1708.001428,1816.547124,1838.209968
Kyrgyz Republic,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513,1242.769643,1308.139779,1374.031136,1173.611356
Cambodia,882.275614,950.880346,1013.420536,1093.495976,1162.904995,1269.591499,1385.260066,1512.126989,1643.121389,1512.727753
Kiribati,1734.902397,1788.690394,1715.813041,1642.822669,1542.616968,1584.737028,1640.57196,1698.329587,1655.050693,1670.824691
St. Kitts and Nevis,16539.76901,16046.48694,16685.94759,18051.17903,18028.97343,18810.55938,19158.7448,19276.52127,19773.46237,17435.92743
"Korea, Rep.",25096.26388,25466.76052,27182.73431,29249.57522,28732.23108,29288.87044,31616.8434,33422.94421,31846.21823,31489.1227
Kuwait,48631.7834,51979.12069,49388.05338,44062.34091,29869.55275,27653.15762,29759.46744,33399.06048,32373.25111,
Latin America & Caribbean (excluding high income),9821.029308,9674.39298,9829.36977,9775.879638,8241.120037,7930.715055,8743.84224,8395.074358,8213.078063,6733.112385
Lao PDR,1378.362016,1581.39614,1825.665672,1998.333108,2134.713062,2308.799808,2423.847598,2542.489769,2544.95255,2630.203774
Lebanon,7675.30894,7952.151239,7933.233249,7687.930519,7644.545147,7626.300196,7792.59886,8012.539237,7583.699146,4891.00147
Liberia,596.8966353,657.9357791,721.9295456,721.1822986,710.3840166,714.6233922,698.7023587,677.3223191,621.8929536,583.2717273
